inferred_pattern,closest_example,fits_trajectory,is_anomaly,anomaly_type,severity,confidence,explanation,_meta,date,month_index,statistical_note,input_tokens,output_tokens,elapsed_seconds,actually_planted_x,actual_anomaly_type_x,actually_planted_y,actual_anomaly_type_y
"Data shows an upward trend with fluctuations. Values started around 45-50k in early 2021, dipped in June to ~47.5k, then resumed growth. The trajectory suggests gradual month-over-month increases with some volatility, averaging roughly 2-4% growth in recent months with occasional larger jumps.","Example B - this represents growth notably faster than the established trend, but not an extreme outlier given the volatility already present",False,True,sudden_spike,medium,64,"October 2021 jumped to 62,133, which is a 14.2% increase from September's 54,402. While the data has shown an upward trend, the typical month-over-month growth has been more modest (2-4% in recent months). This represents the highest value in the 10-month history and the jump is notably steeper than the established pattern. However, given that we only have 10 months of data and some inherent volatility has been present (including a previous 8.4% jump in April and a 14.2% increase in October from September), this could represent accelerated growth rather than a true anomaly. The confidence is moderate because while the jump is significant, the limited history makes it harder to definitively call this abnormal versus the start of a new growth phase.","{'model': 'claude', 'input_tokens': 1453, 'output_tokens': 358, 'elapsed_seconds': 10.82}",2021-10,9,,1453,358,10.82,False,,False,
"Data shows steady baseline around 48-55k for most months, with strong year-end seasonality: values ramp significantly in Q4 (October through December show progressive increases of 14%, 21%, and 16% respectively in 2021), peaking in December at 87k before returning to baseline levels in January.","Example D - similar to December matching prior Decembers, this January returns to baseline just as January should",True,False,not_an_anomaly,not_an_anomaly,11,"January 2022 shows a normal seasonal pattern. After a strong year-end peak in December (a consistent pattern where values climbed from 62k in October to 88k in December), the metric returned to its typical baseline range of 48-55k in January. This is exactly what happened in January 2021, which also started around 48k. The drop from December is steep (37% decline), but this mirrors the expected post-holiday normalization. The value of 55k is actually slightly above the typical January baseline, likely reflecting modest year-over-year growth. This is healthy seasonal behavior, not a break in the pattern.","{'model': 'claude', 'input_tokens': 1494, 'output_tokens': 320, 'elapsed_seconds': 8.9}",2022-01,12,,1494,320,8.9,False,,False,
"The data shows a clear upward baseline trend with strong seasonal pattern: steady growth through the year with dramatic acceleration in Q4 (October-December spike), followed by sharp drops in January. Nov-Dec values are consistently 40-60% higher than the preceding months. February 2021 was a low point at 45,367.","Example B - this resembles a sudden spike situation, though more extreme. The value is roughly 62% higher than the prior January and represents the highest value ever recorded.",False,True,sudden_spike,high,78,"February 2022 shows an unexpected spike to 89,277, which breaks the established pattern in several ways. Historically, February should be a low month (2021 February was 45,367), and values typically drop sharply after the December peak. Instead, this February is 62% higher than January 2022 and nearly double the only prior February on record. This contradicts both the seasonal pattern (post-holiday decline) and the month-specific expectation. While the business has an upward trend and strong seasonality, this February value appears at a level that should only occur during November-December peaks, making it a clear departure from normal behavior.","{'model': 'claude', 'input_tokens': 1509, 'output_tokens': 328, 'elapsed_seconds': 9.39}",2022-02,13,,1509,328,9.39,True,sudden_spike,True,sudden_spike
"The data shows a strong seasonal pattern with significant spikes in Q4 (October-December), particularly November-December which reach 75K-87K range. Q1-Q3 typically range between 45K-55K with occasional mid-year peaks around 60K. There's a notable exception in February 2022 which spiked to 89K, breaking the normal seasonal pattern.","Example D - this resembles a month returning to normal after an unusual spike, where the baseline pattern is being restored rather than broken",True,False,not_an_anomaly,not_an_anomaly,78,"March 2022 at 53,401 is completely normal and expected. Looking at the history, non-holiday months typically range between 45K-55K, and March 2022 falls right in the middle of this range. The previous month (February 2022 at 89K) was the unusual one—it broke the normal pattern by staying at holiday-season levels when it shouldn't have. March represents a return to the established baseline pattern we see in Q1-Q3 of 2021. This is not a drop from normal; it's a correction back to normal after February's anomaly.","{'model': 'claude', 'input_tokens': 1519, 'output_tokens': 335, 'elapsed_seconds': 9.11}",2022-03,14,,1519,335,9.11,False,,False,
"The data shows moderate growth through 2021 with strong seasonal spikes in Q4 (Oct-Dec), particularly November-December which reach 75K-88K. January drops back to baseline (~55K), followed by volatile behavior in early 2022 including an extreme February spike to 89K. Baseline values gradually trend upward from ~48K to ~55K range.",Example A - this month represents normal continuation of the baseline trend after January's seasonal reset,True,False,not_an_anomaly,not_an_anomaly,18,"April 2022's value of 58,731 is consistent with the established pattern. After the typical year-end spike (Nov-Dec 2021 reached 75K-88K) and January's return to baseline around 55K, April sits slightly above the growing baseline trend. This matches April 2021's level (54K) adjusted for the gradual upward drift observed throughout the data. The February spike to 89K appears anomalous in isolation, but April has returned to the expected trajectory. This is normal post-seasonal behavior, not a break from the pattern.","{'model': 'claude', 'input_tokens': 1528, 'output_tokens': 316, 'elapsed_seconds': 8.95}",2022-04,15,,1528,316,8.95,False,,False,
"Data shows moderate baseline growth with strong seasonal peaks in Q4 (October-December), particularly November-December. Year-end peaks are followed by January drops. February 2022 shows an extreme outlier spike (89k, highest on record). Spring months (March-May) typically range 50k-62k, showing relative stability after the Q4 seasonal surge.",Example A - steady growth pattern with value within normal range,True,False,not_an_anomaly,not_an_anomaly,18,"May 2022's value of 61,704 fits the expected pattern for spring months following the year-end seasonal peak. Comparing to May 2021 (54,830), this represents roughly 13% year-over-year growth, which is consistent with the gradual upward baseline trend observed across the data. The value falls squarely within the typical spring range (50k-62k) and shows normal sequential growth from April 2022 (58,731). While statistically flagged against same-month average, this is expected given only one prior May for comparison. The February 2022 outlier (89k) is the true anomaly in this period, not May's performance.","{'model': 'claude', 'input_tokens': 1541, 'output_tokens': 332, 'elapsed_seconds': 9.01}",2022-05,16,,1541,332,9.01,False,,False,
"Data shows gradual upward baseline trend with strong seasonal pattern: significant spikes in Q4 (October-December), particularly November-December, with occasional mid-year spikes (notably February 2022). June values historically lower, around 47-55k range. After major Q4 peaks, January typically drops back to baseline.",Example D - seasonal pattern matching historical precedent,True,False,not_an_anomaly,not_an_anomaly,18,"June 2022's value of 55,237 is entirely consistent with the established pattern for this month. Looking at June 2021 (47,521), this year shows modest growth aligned with the overall upward baseline trend observed across the dataset. June consistently represents a mid-year period with values lower than the dramatic Q4 peaks. The statistical signal noting this is above the same-month average is actually expected given the general upward trajectory of the business. There is no break from the established seasonal pattern—this June is behaving exactly as June should, falling between the dramatic year-end peaks and settling into the typical mid-year range with appropriate year-over-year growth.","{'model': 'claude', 'input_tokens': 1550, 'output_tokens': 314, 'elapsed_seconds': 9.44}",2022-06,17,,1550,314,9.44,False,,False,
"Data shows irregular volatility with occasional large spikes. Notable patterns include: a strong Q4 2021 surge (Oct-Dec: 62K→75K→88K), followed by a sharp January 2022 drop to 55K, an extreme February 2022 spike to 89K (highest ever), then return to 50-60K range for spring/summer 2022. No clear consistent seasonality—spikes appear sporadically rather than predictably.",Example B - growth notably faster than recent trend but not extreme,False,True,sudden_spike,medium,64,"September 2022 at 65K represents a significant jump of approximately 21% from August's 54K, breaking the recent pattern. From March through August 2022, values stabilized in the 50-61K range with modest variation. This September spike to 65K exceeds that established range and shows acceleration inconsistent with the prior six months of relative stability. While we've seen larger spikes in this volatile dataset (notably February's 89K), this jump is meaningful because it breaks from the recent steady trajectory. It's not as extreme as some historical spikes, hence medium severity and moderate confidence rather than high.","{'model': 'claude', 'input_tokens': 1585, 'output_tokens': 331, 'elapsed_seconds': 12.33}",2022-09,20,,1585,331,12.33,False,,False,
"Data shows a clear seasonal pattern with strong year-end spikes (Oct-Dec), particularly November-December peaks around 75K-90K. Post-December drops to 50K-55K range, then gradual mid-year build. September-October consistently begins the seasonal climb. Overall baseline appears stable to slightly upward with pronounced Q4 seasonality.",Example F - This resembles the November scenario where an October value shows expected seasonal increase consistent with historical year-end patterns,True,False,not_an_anomaly,not_an_anomaly,82,"This October value of 69,406 is perfectly normal and reflects the expected seasonal pattern. Looking at the history, October consistently marks the beginning of the year-end surge: last year's October was 62,133, and this year shows a similar position in the seasonal climb. The value represents about a 7% increase from September (64,964), which aligns with the typical October-to-November acceleration we see each year. This is not a spike or anomaly—it's simply October doing what October does: starting the climb toward the November-December peak that historically reaches 75K-90K. The metric is following its established seasonal trajectory.","{'model': 'claude', 'input_tokens': 1596, 'output_tokens': 329, 'elapsed_seconds': 9.71}",2022-10,21,,1596,329,9.71,False,,False,
"Data shows steady growth throughout 2021 with strong seasonal peaks in Q4 (October-December), where values typically climb 20-40% from summer baseline. The pattern shows November consistently elevated (75K in 2021) as part of year-end seasonal surge. 2022 continues similar patterns with Q4 typically showing significant increases.",Example C - sharp reversal with no precedent in history,False,True,sudden_drop,critical,96,"November 2022 shows a severe drop to 34,624, falling roughly 50% below October's value of 69,406. This is highly abnormal for two reasons: First, November historically shows strong seasonal increases (2021 November jumped 21% above October to reach 75,422). Second, this November value is less than half of what we'd expect based on the established seasonal pattern - it's even below most summer months in 2022. This represents both a dramatic month-over-month decline during what should be a peak season AND performance far weaker than any comparable period. The drop breaks a consistent multi-year pattern of Q4 strength with very high confidence.","{'model': 'claude', 'input_tokens': 1613, 'output_tokens': 359, 'elapsed_seconds': 10.68}",2022-11,22,The -10.82 standard deviation from historical November average and -1.74 std dev from rolling average both confirm this as an extreme outlier that clearly breaks established trajectory.,1613,359,10.68,True,sudden_drop,True,sudden_drop
