date,sales,is_anomaly,anomaly_type,year,month,rolling_avg_12mo,rolling_std_12mo,rolling_deviation,seasonal_avg,seasonal_std,seasonal_deviation,is_candidate
2021-01-01,48245.07,False,,2021,1,,,,,,,False
2021-02-01,45367.07,False,,2021,2,,,,,,,False
2021-03-01,49684.3,False,,2021,3,,,,,,,False
2021-04-01,54199.44,False,,2021,4,,,,,,,False
2021-05-01,54829.62,False,,2021,5,,,,,,,False
2021-06-01,47521.13,False,,2021,6,49974.43833333333,3788.0044329932716,-0.65,,,,False
2021-07-01,48124.14,False,,2021,7,49710.11,3527.969330214386,-0.45,,,,False
2021-08-01,50172.43,False,,2021,8,49767.9,3270.3522719644234,0.12,,,,False
2021-09-01,54402.17,False,,2021,9,50282.81888888889,3427.036131135929,1.2,,,,False
2021-10-01,62132.99,False,,2021,10,51467.835999999996,4947.957075391373,2.16,,,,True
2021-11-01,75421.89,False,,2021,11,53645.47727272727,8613.790567309017,2.53,,,,False
2021-12-01,87684.38,False,,2021,12,56482.0525,12806.485821331547,2.44,,,,False
2022-01-01,55139.54,False,,2022,1,57056.591666666674,12555.549971917768,-0.15,48245.07,,2.86,True
2022-02-01,89276.68800000001,True,sudden_spike,2022,2,60715.7265,14999.632311439622,1.9,45367.07,,19.36,True
2022-03-01,53401.98,False,,2022,3,61025.53316666667,14787.97244524643,-0.52,49684.3,,1.5,True
2022-04-01,58731.04,False,,2022,4,61403.1665,14655.074477071317,-0.18,54199.44,,1.67,True
2022-05-01,61704.16,False,,2022,5,61976.04483333334,14508.380323408466,-0.02,54829.62,,2.51,True
2022-06-01,55237.33,False,,2022,6,62619.0615,13970.514942217866,-0.53,47521.13,,3.25,True
2022-07-01,50903.92,False,,2022,7,62850.709833333334,13729.285305267866,-0.87,48124.14,,1.16,False
2022-08-01,53796.44,False,,2022,8,63152.71066666667,13462.313030930527,-0.69,50172.43,,1.44,False
2022-09-01,64964.43,False,,2022,9,64032.899000000005,13180.516545708098,0.07,54402.17,,3.88,True
2022-10-01,69406.02,False,,2022,10,64638.98483333333,13252.23437473671,0.36,62132.99,,2.34,True
2022-11-01,34623.49600000001,True,sudden_drop,2022,11,61239.11866666667,15308.311235784717,-1.74,75421.89,,-10.82,True
2022-12-01,98118.2,False,,2022,12,62108.60366666666,17134.311840779385,2.1,87684.38,,2.38,True
2023-01-01,61236.62,False,,2023,1,62616.693666666666,16998.73178845859,-0.08,51692.305,4875.126489687217,1.96,True
2023-02-01,59528.09,False,,2023,2,60137.643833333335,14781.93499579211,-0.04,67321.879,31048.788647110894,-0.25,False
2023-03-01,61539.47,False,,2023,3,60815.768000000004,14630.725282211364,0.05,51543.14,2628.796738281604,3.8,True
2023-04-01,67797.59,False,,2023,4,61571.313833333326,14746.922324981513,0.42,56465.240000000005,3204.325089624958,3.54,True
2023-05-01,70365.0,False,,2023,5,62293.05049999999,14964.349517044935,0.54,58266.89,4861.033851538169,2.49,True
2023-06-01,61222.03,False,,2023,6,62791.775499999996,14806.719895743017,-0.11,51379.229999999996,5456.177344991641,1.8,True
2023-07-01,,True,missing_data,2023,7,63872.48963636363,15024.846131997941,,49514.03,1965.6012882067403,,True
2023-08-01,65586.93,False,,2023,8,64944.35236363636,14650.033295596486,0.04,51984.435,2562.5620460878613,5.23,True
2023-09-01,70405.29,False,,2023,9,65438.975999999995,14742.33704139029,0.34,59683.3,7468.645670655425,1.44,False
2023-10-01,70456.958,False,,2023,10,65534.51581818182,14773.988335071981,0.33,65769.505,5142.8088327732,0.91,False
2023-11-01,81366.3027,False,,2023,11,69783.86188181817,11310.328382791342,1.02,55022.693,28848.821058920552,0.91,False
2023-12-01,81619.3286,True,gradual_drift,2023,12,68283.96448181818,7692.413293575018,1.73,92901.29000000001,7377.824875679818,-1.53,True
2024-01-01,69643.08,False,,2024,1,69048.1881181818,7331.370527451885,0.08,54873.74333333334,6499.852209983959,2.27,True
2024-02-01,63315.81,False,,2024,2,69392.5263,6916.744698193407,-0.88,64723.94933333333,22411.18814086664,-0.06,False
2024-03-01,68550.27,False,,2024,3,70029.87175454546,6426.384466487041,-0.23,54875.25,6063.34538863654,2.26,True
2024-04-01,75188.91,False,,2024,4,70701.80993636364,6554.771214736711,0.68,60242.69,6923.9609435279135,2.16,True
2024-05-01,80416.21,False,,2024,5,71615.5563,7174.413758983448,1.23,62299.59333333333,7784.787317385961,2.33,True
2024-06-01,68810.24,False,,2024,6,72305.39357272728,6397.905191184711,-0.55,54660.16333333333,6868.661166729172,2.06,True
2024-07-01,65113.76,False,,2024,7,71706.090775,6443.753392930209,-1.02,49514.03,1965.6012882067403,6.3,True
2024-08-01,45012.8055,True,non_seasonal_dip,2024,8,69991.58039999999,9984.325606343426,-2.5,56518.6,8059.7344163253865,-1.43,True
2024-09-01,75867.32,False,,2024,9,70446.74956666667,10128.36408094885,0.54,63257.29666666667,8136.995182309825,1.55,True
2024-10-01,85515.98,False,,2024,10,71701.66806666668,11023.137257027252,1.25,67331.98933333333,4533.024732004155,4.01,True
2024-11-01,106447.34,False,,2024,11,73791.75450833334,14764.946585376467,2.21,63803.89623333333,25445.153348331783,1.68,True
2024-12-01,125585.68,False,,2024,12,77455.617125,21015.780336666758,2.29,89140.63620000001,8345.2801605736,4.37,True
